source,rowid,brand,component_type,old_model,new_model
components.db,263082,FOJAN(富捷),厚膜电阻,FRC0603J822TS,FRC0603J822 TS
components.db,263083,FOJAN(富捷),厚膜电阻,FRC1206J4R3TS,FRC1206J4R3 TS
components.db,263084,FOJAN(富捷),厚膜电阻,FRC0402J560TS,FRC0402J560 TS
components.db,263085,FOJAN(富捷),厚膜电阻,FRC0603J106TS,FRC0603J106 TS
components.db,263087,FOJAN(富捷),厚膜电阻,FRC2010J104TS,FRC2010J104 TS
components.db,263089,FOJAN(富捷),厚膜电阻,FRC0603J243TS,FRC0603J243 TS
components.db,263091,FOJAN(富捷),厚膜电阻,FRC0805J205TS,FRC0805J205 TS
components.db,263093,FOJAN(富捷),厚膜电阻,FRC0603J181TS,FRC0603J181 TS
components.db,263094,FOJAN(富捷),厚膜电阻,FRC0805J270TS,FRC0805J270 TS
components.db,263095,FOJAN(富捷),厚膜电阻,FRC0805J561TS,FRC0805J561 TS
components.db,263096,FOJAN(富捷),厚膜电阻,FRC2512J104TS,FRC2512J104 TS
components.db,263097,FOJAN(富捷),厚膜电阻,FRC1206J1R5TS,FRC1206J1R5 TS
components.db,263098,FOJAN(富捷),厚膜电阻,FRC1206J392TS,FRC1206J392 TS
components.db,263101,FOJAN(富捷),厚膜电阻,FRC1206J750TS,FRC1206J750 TS
components.db,263103,FOJAN(富捷),厚膜电阻,FRC0603J241TS,FRC0603J241 TS
components.db,263106,FOJAN(富捷),厚膜电阻,FRC0603J271TS,FRC0603J271 TS
components.db,263108,FOJAN(富捷),厚膜电阻,FRC2512J201TS,FRC2512J201 TS
components.db,263109,FOJAN(富捷),厚膜电阻,FRC0402J180TS,FRC0402J180 TS
components.db,263110,FOJAN(富捷),厚膜电阻,FRC1206J125TS,FRC1206J125 TS
components.db,263111,FOJAN(富捷),厚膜电阻,FRC1206J683TS,FRC1206J683 TS
components.db,263112,FOJAN(富捷),厚膜电阻,FRC1206J242TS,FRC1206J242 TS
